Name,Organization,Provider Type,Facility Type,Address,Suburb,Postcode,Phone,Website,group_services_standardized,individual_services_standardized,associated_services_standardized,Verification Notes (as of Oct 2025),City_Sheet,State,latitude,longitude,geocode_accuracy,geocode_source,geocode_display_name
Cancer Services (Royal Adelaide Hospital),Royal Adelaide Hospital,Public Hospital,Hospital,Port Road,Adelaide,5000,08 7074 0000,https://www.rah.sa.gov.au/,support_group; education,medical_oncology; radiation_oncology; haematology; surgical_oncology,allied_health; social_work; psychology; dietetics; rural_liaison,"Verified. A primary public tertiary cancer centre for South Australia, located in the BioMed City precinct.",Adelaid_clean,SA,-34.9084628,138.5764812,high,Nominatim,"Port Road, Hindmarsh, Adelaide, City of Charles Sturt, South Australia, 5007, Australia"
Youth Cancer Service SA/NT,Royal Adelaide Hospital,Government/NGO,Youth Service,Multiple locations,Adelaide,5000,Via hospitals,https://www.canteen.org.au/,support_group,care_coordination; psychology,social_work; education_support,"Verified. The specialist clinical service for young people (15-25), a partnership between SA Health and CanTeen.",Adelaid_clean,SA,,,failed,,
Flinders Medical Centre Cancer Services,Flinders Medical Centre,Public Hospital,Hospital,Flinders Drive,Bedford Park,5042,08 8204 5511,https://www.sahealth.sa.gov.au/,support_group; education,medical_oncology; radiation_therapy; surgical_oncology; palliative_care,care_coordination; allied_health,Verified. A major public tertiary cancer centre serving Adelaide's southern suburbs.,Adelaid_clean,SA,-35.0205836,138.5675958,high,Nominatim,"Flinders Drive, Bedford Park, Adelaide, City of Mitcham, South Australia, 5042, Australia"
Flinders Cancer Wellness Centre,Flinders Medical Centre,Public Hospital,Wellness Centre,Ground Floor FCIC Flinders Drive,Bedford Park,5042,08 8204 2720,https://www.sahealth.sa.gov.au/,support_group; education,none,volunteer_support; online_resources,Verified. An excellent hospital-based wellness centre providing non-clinical support and a quiet space.,Adelaid_clean,SA,,,failed,,
Michael Rice Centre for Haematology/Oncology,Women's and Children's Hospital,Public Hospital,Pediatric Hospital,72 King William Road,North Adelaide,5006,08 8161 7000,https://www.wch.sa.gov.au/,support_group,pediatric_oncology; haematology,music_therapy; play_therapy; spiritual_care,Verified. The primary pediatric cancer treatment centre for South Australia.,Adelaid_clean,SA,-34.9096706,138.5972813,high,Nominatim,"King William Road, North Adelaide, Adelaide, Adelaide City Council, South Australia, 5006, Australia"
Queen Elizabeth Hospital Cancer Services,The Queen Elizabeth Hospital,Public Hospital,Hospital,28 Woodville Road,Woodville South,5011,08 8222 6000,https://www.sahealth.sa.gov.au/,support_group,medical_oncology; chemotherapy,allied_health; social_work,Verified. A key public hospital serving Adelaide's western suburbs.,Adelaid_clean,SA,-34.881161,138.5347656,high,Nominatim,"Woodville Road, Woodville South, Adelaide, City of Charles Sturt, South Australia, 5011, Australia"
Northern Adelaide Cancer Centre,Lyell McEwin Hospital,Public Hospital,Hospital,Haydown Road,Elizabeth Vale,5112,08 8182 9000,https://www.sahealth.sa.gov.au/,support_group; education,medical_oncology; radiation_oncology; clinical_trials,research_unit; allied_health,Verified. The major public cancer centre for Adelaide's northern suburbs.,Adelaid_clean,SA,-34.7487661,138.6666728,high,Nominatim,"Haydown Road, Elizabeth Vale, Adelaide, City of Playford, South Australia, 5112, Australia"
Cancer Council SA,Cancer Council,NGO/Charity,Support Organisation,202 Greenhill Road,Eastwood,5063,13 11 20,https://www.cancersa.org.au/,support_group; education,counselling,financial_assistance; legal_assistance; accommodation_assistance,Verified. The primary non-profit support organization. The 13 11 20 helpline is the best first point of contact.,Adelaid_clean,SA,-34.9406913,138.6182822,high,Nominatim,"202, Greenhill Road, Eastwood, Adelaide, City of Burnside, South Australia, 5063, Australia"
Cancer Council Greenhill Lodge,Cancer Council SA,NGO/Charity,Accommodation,202 Greenhill Road,Eastwood,5063,08 8291 4111,https://www.cancersa.org.au/,support_group,none,accommodation_assistance; transport_assistance,"Verified. A key accommodation service for regional patients, operated by Cancer Council SA.",Adelaid_clean,SA,-34.9406913,138.6182822,high,Nominatim,"202, Greenhill Road, Eastwood, Adelaide, City of Burnside, South Australia, 5063, Australia"
Leukaemia Foundation SA,Leukaemia Foundation,NGO/Charity,Support Organisation,39 Folland Avenue,Northfield,5085,1800 620 420,https://www.leukaemia.org.au/,support_group; education,counselling,transport_assistance; accommodation_assistance; financial_assistance,Verified. The main office and support hub for blood cancer patients in SA.,Adelaid_clean,SA,-34.8582655,138.6267381,high,Nominatim,"Folland Avenue, Northfield, Adelaide, City of Port Adelaide Enfield, South Australia, 5085, Australia"
