Name,Organization,Provider Type,Facility Type,Address,Suburb,State,Postcode,Councils Served,Eligibility,Services,Hours,Phone,Website
Liverpool Hospital Cancer Wellness Centre,South Western Sydney Local Health District,Hospital,Hospital Wellness Centre,Elizabeth Street,Liverpool,NSW,2170,"Liverpool, Fairfield, Campbelltown, Camden, Wollondilly",Cancer patients and carers - self-referral accepted,"Acupuncture, massage therapy, art therapy, exercise classes, meditation, yoga, zumba, gardening workshops, nutrition counseling, wig services",Mon-Fri 8:30am-4:30pm,02 8738 4560,swslhd-liverpoolwellnesscentre@health.nsw.gov.au
Prince of Wales Hospital Nelune Comprehensive Cancer Centre,South Eastern Sydney Local Health District,Hospital,Hospital Cancer Centre,High Street,Randwick,NSW,2031,"Randwick, Waverley, Woollahra, Sydney",Cancer patients and survivors,"Cancer Survivorship Centre, Youth Cancer Service (15-25yo), fatigue management program, wig library",Mon-Fri 8:30am-5:00pm; Wig library 1st & 3rd Tues 9am-1pm,02 9382 5111,https://www.seslhd.health.nsw.gov.au/
Westmead Hospital Crown Princess Mary Cancer Centre,Western Sydney Local Health District,Hospital,Hospital Cancer Centre,Cnr Hawkesbury & Darcy Roads,Westmead,NSW,2145,"Parramatta, The Hills, Blacktown, Cumberland",Cancer patients,"Yoga therapy, oncology massage, acupuncture, tai chi, Maple Tree Exercise Program, breast care nurses",Mon-Fri 8:00am-5:00pm,02 8890 5656,https://www.wslhd.health.nsw.gov.au/
Royal North Shore Hospital Northern Sydney Cancer Centre,Northern Sydney Local Health District,Hospital,Hospital Cancer Centre,Reserve Road,St Leonards,NSW,2065,"North Sydney, Willoughby, Lane Cove, Mosman, Ku-ring-gai, Northern Beaches, Hornsby, Hunters Hill",Cancer patients,"Radiation therapy, chemotherapy, immunotherapy, Sydney Brain Tumour Clinic",Mon-Fri 8:00am-5:00pm,02 9926 7111,https://www.nslhd.health.nsw.gov.au/
Concord Hospital Cancer Centre,Sydney Local Health District,Hospital,Hospital Cancer Centre,Hospital Road,Concord,NSW,2139,"Canada Bay, Burwood, Strathfield, Inner West",Cancer patients,"Survivorship Gym, Aboriginal Cancer Care Coordinator, Cancer Council liaison",Mon-Fri 8:30am-5:00pm,02 9767 5000,https://www.slhd.nsw.gov.au/
Royal Prince Alfred Hospital,Sydney Local Health District,Hospital,Hospital,Missenden Road,Camperdown,NSW,2050,"Sydney, Inner West",Cancer patients,"Comprehensive cancer services, Aboriginal Cancer Care Coordinator",Mon-Fri 8:00am-5:00pm,02 9515 6111,https://www.slhd.nsw.gov.au/
St Vincent's Hospital,St Vincent's Health Network,Hospital,Hospital,390 Victoria Street,Darlinghurst,NSW,2010,"Sydney, Waverley, Woollahra",Cancer patients,"Kinghorn Cancer Centre, comprehensive cancer services",Mon-Fri 8:00am-5:00pm,02 8382 1111,https://www.svhs.org.au/
St George Hospital,South Eastern Sydney Local Health District,Hospital,Hospital,Gray Street,Kogarah,NSW,2217,"Georges River, Bayside",Cancer patients,"Cancer care centre, McGrath breast care nurse",Mon-Fri 8:30am-5:00pm,02 9113 1111,https://www.seslhd.health.nsw.gov.au/
Sutherland Hospital,South Eastern Sydney Local Health District,Hospital,Hospital,The Kingsway,Caringbah,NSW,2229,Sutherland Shire,Cancer patients,Oncology services and support,Mon-Fri 8:30am-5:00pm,02 9540 7111,https://www.seslhd.health.nsw.gov.au/
Bankstown-Lidcombe Hospital,South Western Sydney Local Health District,Hospital,Hospital,Eldridge Road,Bankstown,NSW,2200,Canterbury-Bankstown,Cancer patients,Cancer services and support,Mon-Fri 8:30am-5:00pm,02 9722 8000,https://www.swslhd.health.nsw.gov.au/
Blacktown Hospital,Western Sydney Local Health District,Hospital,Hospital,Marcel Crescent,Blacktown,NSW,2148,Blacktown,Cancer patients,"Cancer services, McGrath breast care nurse",Mon-Fri 8:00am-5:00pm,02 9881 8000,https://www.wslhd.health.nsw.gov.au/
Mount Druitt Hospital,Western Sydney Local Health District,Hospital,Hospital,Railway Street,Mount Druitt,NSW,2770,Blacktown,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 9881 1555,https://www.wslhd.health.nsw.gov.au/
Nepean Hospital,Nepean Blue Mountains Local Health District,Hospital,Hospital,Derby Street,Penrith,NSW,2750,"Penrith, Blue Mountains, Hawkesbury",Cancer patients,"Nepean Cancer Care Centre, comprehensive services",Mon-Fri 8:00am-5:00pm,02 4734 2000,https://www.nbmlhd.health.nsw.gov.au/
Auburn Hospital,Western Sydney Local Health District,Hospital,Hospital,Hargrave Road,Auburn,NSW,2144,Cumberland,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 8759 3000,https://www.wslhd.health.nsw.gov.au/
Canterbury Hospital,Sydney Local Health District,Hospital,Hospital,575 Canterbury Road,Campsie,NSW,2194,Canterbury-Bankstown,Cancer patients,"Cancer services, Aboriginal Cancer Care Coordinator",Mon-Fri 8:30am-5:00pm,02 9787 0000,https://www.slhd.nsw.gov.au/
Chris O'Brien Lifehouse,Independent,Hospital,Comprehensive Cancer Centre,119-143 Missenden Road,Camperdown,NSW,2050,"Sydney, Inner West",Cancer patients,"Comprehensive cancer centre, Aboriginal Cancer Care Coordinator, integrative therapies",Mon-Fri 8:00am-5:00pm,02 8514 0500,https://www.mylifehouse.org.au/
Hornsby Hospital,Northern Sydney Local Health District,Hospital,Hospital,Palmerston Road,Hornsby,NSW,2077,Hornsby,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 9477 9123,https://www.nslhd.health.nsw.gov.au/
Manly Hospital,Northern Sydney Local Health District,Hospital,Hospital,Darley Road,Manly,NSW,2095,Northern Beaches,Cancer patients,Cancer services and support,Mon-Fri 8:00am-5:00pm,02 9976 9611,https://www.nslhd.health.nsw.gov.au/
